month,label_name,count
2022-10,transform: log_to_metric,3
2022-10,sink: datadog_traces,3
2022-10,domain: performance,3
2022-10,domain: metrics,3
2022-10,source: file,2
2022-10,source: aws_s3,2
2022-10,sink: prometheus_exporter,2
2022-10,domain: tests,2
2022-10,domain: releasing,2
2022-10,ci-condition: k8s e2e tests enable,2
2022-10,ci-condition: k8s e2e all targets,2
2022-10,transform: throttle,1
2022-10,transform: tag_cardinality_limit,1
2022-10,transform: lua,1
2022-10,source: prometheus_scrape,1
2022-10,source: kubernetes_logs,1
2022-10,source: kafka,1
2022-10,source: http_server,1
2022-10,source: http_client,1
2022-10,source: datadog_agent,1
2022-10,sink: aws_kinesis_streams,1
2022-10,sink: aws_kinesis_firehose,1
2022-10,no-changelog,1
2022-10,meta: awaiting author,1
2022-10,domain: templating,1
2022-10,domain: soak tests,1
2022-10,domain: rfc,1
2022-10,domain: platforms,1
2022-10,domain: internal docs,1
2022-10,domain: dev,1
2022-10,domain: config,1
2022-10,domain: codecs,1
2022-10,domain: cli,1
2022-10,dependencies,1
2022-11,domain: deps,59
2022-11,domain: core,55
2022-11,domain: sources,50
2022-11,domain: ci,43
2022-11,domain: external docs,38
2022-11,ci-condition: integration tests enable,33
2022-11,domain: sinks,27
2022-11,domain: vrl,24
2022-11,domain: transforms,18
2022-11,domain: topology,10
2022-11,type: tech debt,8
2022-11,type: enhancement,7
2022-11,domain: metrics,7
2022-11,domain: rfc,4
2022-11,meta: breaking change,3
2022-11,domain: unit tests,3
2022-11,domain: tests,3
2022-11,domain: releasing,3
2022-11,domain: config,3
2022-11,domain: codecs,3
2022-11,ci-condition: k8s e2e all targets,3
2022-11,vrl: playground,2
2022-11,source: vector,2
2022-11,meta: regression,2
2022-11,dependencies,2
2022-11,ci-condition: k8s e2e tests enable,2
2022-11,type: feature,1
2022-11,type: bug,1
2022-11,transform: log_to_metric,1
2022-11,transform: aws_ec2_metadata,1
2022-11,source: socket,1
2022-11,source: redis,1
2022-11,source: logstash,1
2022-11,source: kafka,1
2022-11,source: journald,1
2022-11,source: internal_metrics,1
2022-11,source: internal_logs,1
2022-11,source: http_server,1
2022-11,source: heroku_logs,1
2022-11,source: fluent,1
2022-11,source: file_descriptor,1
2022-11,source: file,1
2022-11,source: exec,1
2022-11,source: aws_kinesis_firehose,1
2022-11,sink: vector,1
2022-11,sink: pulsar,1
2022-11,sink: prometheus_remote_write,1
2022-11,sink: new,1
2022-11,sink: loki,1
2022-11,sink: datadog_traces,1
2022-11,sink: azure_blob,1
2022-11,meta: awaiting author,1
2022-11,domain: performance,1
2022-11,domain: networking,1
2022-11,domain: buffers,1
2022-12,domain: deps,80
2022-12,domain: sources,49
2022-12,domain: core,42
2022-12,domain: external docs,41
2022-12,ci-condition: integration tests enable,35
2022-12,domain: sinks,31
2022-12,domain: vrl,18
2022-12,type: enhancement,14
2022-12,domain: transforms,11
2022-12,domain: ci,8
2022-12,domain: metrics,5
2022-12,domain: codecs,5
2022-12,type: tech debt,4
2022-12,source: socket,4
2022-12,domain: topology,4
2022-12,domain: releasing,4
2022-12,source: heroku_logs,3
2022-12,domain: rfc,3
2022-12,domain: observability,3
2022-12,domain: data model,3
2022-12,dependencies,3
2022-12,transform: metric_to_log,2
2022-12,source: syslog,2
2022-12,source: statsd,2
2022-12,source: kafka,2
2022-12,source: http_server,2
2022-12,meta: breaking change,2
2022-12,meta: awaiting author,2
2022-12,javascript,2
2022-12,domain: tests,2
2022-12,domain: performance,2
2022-12,domain: config,2
2022-12,ci-condition: k8s e2e tests enable,2
2022-12,ci-condition: k8s e2e all targets,2
2022-12,vrl: playground,1
2022-12,source: vector,1
2022-12,source: stdin,1
2022-12,source: redis,1
2022-12,source: opentelemetry,1
2022-12,source: nats,1
2022-12,source: logstash,1
2022-12,source: kubernetes_logs,1
2022-12,source: fluent,1
2022-12,source: file_descriptor,1
2022-12,source: exec,1
2022-12,source: docker_logs,1
2022-12,source: dnstap,1
2022-12,source: datadog_agent,1
2022-12,source: aws_kinesis_firehose,1
2022-12,source: aws_ecs_metrics,1
2022-12,source: amqp,1
2022-12,sink: statsd,1
2022-12,sink: elasticsearch,1
2022-12,platform: x86_64,1
2022-12,domain: unit tests,1
2023-01,domain: deps,114
2023-01,domain: external docs,79
2023-01,domain: sources,59
2023-01,ci-condition: integration tests enable,36
2023-01,domain: sinks,35
2023-01,domain: ci,35
2023-01,domain: vdev,31
2023-01,domain: core,31
2023-01,domain: dev,20
2023-01,type: tech debt,17
2023-01,domain: vrl,17
2023-01,type: enhancement,13
2023-01,domain: tests,11
2023-01,domain: transforms,7
2023-01,domain: topology,6
2023-01,domain: releasing,5
2023-01,source: logstash,3
2023-01,meta: awaiting author,3
2023-01,dependencies,3
2023-01,type: bug,2
2023-01,source: fluent,2
2023-01,source: datadog_agent,2
2023-01,sink: new,2
2023-01,sink: gcp_chronicle,2
2023-01,domain: rfc,2
2023-01,vrl: playground,1
2023-01,source: vector,1
2023-01,source: statsd,1
2023-01,source: splunk_hec,1
2023-01,source: socket,1
2023-01,source: prometheus_scrape,1
2023-01,source: prometheus_remote_write,1
2023-01,source: nginx_metrics,1
2023-01,source: mongodb_metrics,1
2023-01,source: kafka,1
2023-01,source: journald,1
2023-01,source: internal_metrics,1
2023-01,source: internal_logs,1
2023-01,source: http_server,1
2023-01,source: http_client,1
2023-01,source: file,1
2023-01,source: docker_logs,1
2023-01,source: aws_s3,1
2023-01,sink: websocket,1
2023-01,sink: statsd,1
2023-01,sink: splunk_hec,1
2023-01,sink: socket,1
2023-01,sink: prometheus_remote_write,1
2023-01,sink: prometheus_exporter,1
2023-01,sink: http,1
2023-01,sink: gcp_stackdriver_logs,1
2023-01,sink: gcp_pubsub,1
